2024-12-22 11:34:07,182 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:34:06 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '5', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 2231c949de9065c80ccf59ccb6e56be2.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': 'bnmxCwwy-bbIGCEW1ZMJUqKBE-FQdF2oq8hFGfra2TzcptgrMapOIg=='})
2024-12-22 11:34:19,858 - live_trade_logger - INFO - 反转信号出现：平多并做空，品种：DOGEUSDT,数量：18.0,方向:多
2024-12-22 11:35:43,870 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:35:43 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '190', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 ed205d58bf22e3a1089e798e92dfde68.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': 'GdII-LnbpQG56aF5Kb5pQp5EPaOII-TdWyVCZXKhyf2FEASJL5ERJA=='})
2024-12-22 11:37:03,048 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:37:02 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '5', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 9f6f98693a92fb28f50ee1be22989de2.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': 'QqMmKYx8i0_OdQi3AfQpsXKCffB8gJnvm0vxSc4mCrx-IUx_HML_UQ=='})
2024-12-22 11:37:16,604 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:37:16 GMT', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '40', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 96902189172dc36e37becde22ad7bd8a.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': 'CCaBEVrnybeVMLyzm-djAC1x1TfVE40-cuSCYhYaAXZUeYSYn-TyHw=='})
2024-12-22 11:37:45,945 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:37:44 GMT', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '155', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 096a6b8eead4c03424ba5f53bb356c56.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': '4ashAHiCrED2PMd_vhufAM4E0Mao0ZWxUwE9uf7uaKDhiiOmFQHGgQ=='})
2024-12-22 11:38:23,357 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:38:23 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '5', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 ba6b942710aa259103f983d062cdf774.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': 'k_oRKpbtYssrphBdoiYr6tkYg5L1xs2CRHE_SA2hUWuhhFkKmMZu2A=='})
2024-12-22 11:38:50,367 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:38:50 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '40', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 7570f485f03bad71f82f7f4b41147dca.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': '-0kRD3MZ3WZsBv0x9bfDIauSz04WGS-fL6UI3m1GloiYTx8z83tATg=='})
2024-12-22 11:39:17,752 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:39:17 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '5', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 77ac8a650f3f2774748404b594c45e08.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': 'FZYBxDdTk1E58RDeBT37AU2Y33YL-GHHRXz64FHhJ7wXi0AS8XpHGQ=='})
2024-12-22 11:39:49,096 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:39:47 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '80', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 d247760b572240a3b86644ef7cf65354.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': 'N0If0QFubLq-GoVKNRu8J-A8W5ASzdNnroxiJxqKOzyC0St7E0agAw=='})
2024-12-22 11:44:20,156 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:44:19 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '75', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 c587edeea2bc3d04595013a344ba707e.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': 'Uhx24YlcUysL66FflVDoLDefs95tqsSuEcwPEj8r3ffN0nLVTu9Y6w=='})
